requests_per_minute,session_duration,unique_pages,avg_click_interval,is_headless,user_agent_length,visit_count,label
3.704,48.6,3,24.2984,1,86,3,1
1.7654,679.75,14,35.7762,0,116,20,0
46.1117,23.42,6,1.3777,1,20,18,1
83.2734,57.64,3,0.7296,1,35,80,1
1.2124,445.39,4,55.6731,0,119,9,0
8.2037,234.04,26,7.5497,0,140,32,0
4.014,478.32,24,15.4298,0,136,32,0
1.4545,412.51,2,45.8344,0,112,10,0
16.2773,84.78,22,3.8537,0,158,23,0
1.4026,42.78,1,0,1,75,1,1
180.3168,2.99,6,0.3743,0,95,9,1
3.6598,147.55,4,18.4436,0,93,9,0
115.8698,35.73,5,0.5254,1,55,69,1
1.8147,429.83,13,35.8189,0,122,13,0
37.605,4.79,3,2.3933,0,105,3,1
2.0717,434.42,14,31.0297,0,117,15,0
54.247,21.01,6,1.1675,1,20,19,1
4.5542,39.52,3,19.762,1,93,3,1
4.1337,377.39,25,15.0955,0,121,26,0
238.6839,6.28,7,0.2619,1,12,25,1
0.865,832.38,6,75.6705,0,124,12,0
3.8053,441.49,24,16.3515,0,155,28,0
177.9478,14.16,5,0.3454,1,52,42,1
5.6938,115.92,10,11.5916,0,155,11,0
1.0818,831.91,15,59.4221,0,125,15,0
1.3957,730.79,17,45.6746,0,119,17,0
5.74,41.81,4,13.9373,1,85,4,1
298.8432,2.01,3,0.2231,0,98,10,1
6.0438,39.71,4,13.2368,1,88,4,1
1.3254,407.44,8,50.9295,0,149,9,0
1.6647,684.81,11,38.0452,0,131,19,0
1.2553,382.38,6,54.6254,0,116,8,0
12.5798,23.85,4,5.9619,1,25,5,1
0.8628,625.87,2,78.2338,0,120,9,0
0.8208,804.14,7,80.4135,0,138,11,0
3.685,423.34,24,16.9335,0,118,26,0
157.0782,3.06,5,0.4365,0,85,8,1
2.063,494.43,12,30.9021,0,95,17,0
1.641,840.96,17,38.2256,0,128,23,0
3.631,280.91,15,17.5572,0,124,17,0
9.8943,97.03,8,6.4683,0,120,16,0
140.809,2.56,4,0.5113,0,76,6,1
4.6098,325.4,24,13.5582,0,103,25,0
2.258,558.03,14,27.9013,0,149,21,0
206.0447,25.33,5,0.2946,1,52,87,1
59.0367,56.91,1,1.0348,1,55,56,1
10.957,109.52,19,5.7642,0,127,20,0
12.3256,155.77,27,5.025,0,137,32,0
4.6962,102.21,4,14.6015,0,118,8,0
117.4167,36.79,4,0.5182,1,45,72,1
1.6461,838.36,14,38.1072,0,119,23,0
9.918,127.04,17,6.3521,0,160,21,0
0.9559,376.61,6,75.3219,0,107,6,0
62.0151,35.8,4,0.9944,1,52,37,1
1.3303,586.34,3,48.8615,0,147,13,0
19.8768,51.32,17,3.2073,0,125,17,0
33.8087,19.52,8,1.9522,1,22,11,1
0.6379,846.58,1,105.8226,0,116,9,0
3.6776,456.82,20,16.9192,0,134,28,0
1.5422,194.53,3,48.632,0,116,5,0
1.0819,665.51,6,60.5013,0,111,12,0
146.1108,12.73,4,0.4243,1,35,31,1
15.5793,42.36,7,4.2364,0,142,11,0
1.6827,713.13,11,37.5333,0,159,20,0
8.952,73.73,1,7.3727,0,158,11,0
3.7228,225.63,8,17.3565,0,116,14,0
2.7894,709.83,28,22.1822,0,140,33,0
19.0488,103.94,23,3.2482,0,139,33,0
1.1831,659.3,4,54.9414,0,137,13,0
2.169,221.3,5,31.6147,0,114,8,0
0.6903,869.18,6,96.5755,0,123,10,0
51.5191,43.09,1,1.197,1,42,37,1
5.721,157.32,14,11.2368,0,141,15,0
3.0055,219.6,6,21.9598,0,149,11,0
17.898,90.51,27,3.4813,0,129,27,0
6.1423,39.07,4,13.0244,1,92,4,1
8.2414,43.68,6,8.7364,1,85,6,1
18.1407,115.76,26,3.4048,0,96,35,0
2.4216,495.54,17,26.0808,0,115,20,0
0.6819,439.95,1,109.9878,0,154,5,0
140.553,2.56,6,0.5123,0,110,6,1
247.8103,22.03,3,0.2448,1,55,91,1
1.0988,873.66,11,58.2442,0,133,16,0
1.6183,556.15,13,39.7251,0,113,15,0
5.433,353.4,32,11.3999,0,103,32,0
3.1904,639.41,31,19.3761,0,116,34,0
3.428,192.53,1,19.2533,0,143,11,0
5.4102,166.35,10,11.8823,0,147,15,0
1.9656,732.58,22,31.8514,0,126,24,0
2.0005,329.92,7,32.9925,0,100,11,0
0.6814,616.41,6,102.7351,0,123,7,0
1.4028,727.14,15,45.4461,0,134,17,0
5.1659,197.45,15,12.3407,0,118,17,0
8.8178,81.65,5,7.423,0,114,12,0
4.2995,432.6,21,14.4201,0,101,31,0
4.5346,423.42,30,13.6585,0,126,32,0
4.6627,51.47,4,17.1574,1,82,4,1
1.6599,469.9,13,39.158,0,147,13,0
34.8437,29.27,2,1.8296,1,12,17,1
0.7903,835.17,4,83.517,0,134,11,0
1.7726,778.51,19,35.3868,0,128,23,0
12.8487,98.06,20,4.9032,0,140,21,0
73.1439,21.33,2,0.8531,1,60,26,1
2.3929,25.07,1,0,1,92,1,1
17.4972,78.87,21,3.585,0,141,23,0
1.4441,332.39,7,47.4848,0,157,8,0
2.0022,239.74,2,34.2487,0,135,8,0
448.0057,1.34,8,0.1488,0,85,10,1
4.0164,268.9,8,15.8176,0,136,18,0
28.7775,16.68,4,2.3828,1,24,8,1
96.0002,35.62,3,0.6362,1,58,57,1
113.6364,37.49,4,0.5355,1,42,71,1
2.2345,537.04,20,28.2653,0,108,20,0
10.8157,33.28,6,6.657,1,78,6,1
2.3236,748.85,26,26.7445,0,99,29,0
3.6587,245.99,10,17.5706,0,141,15,0
4.053,340.49,19,15.4769,0,120,23,0
8.7502,226.28,32,7.0712,0,151,33,0
3.0523,668.36,25,20.2532,0,121,34,0
5.0996,400.03,32,12.1221,0,120,34,0
2.8005,514.19,18,22.3562,0,99,24,0
13.2222,149.75,28,4.6796,0,130,33,0
2.294,470.79,12,27.6935,0,109,18,0
3.268,422.27,16,19.1943,0,132,23,0
99.2498,4.23,4,0.7053,0,80,7,1
2.2809,394.59,15,28.1848,0,120,15,0
8.6094,209.07,27,7.2094,0,105,30,0
99.8369,3.0,4,0.7512,0,105,5,1
22.3722,18.77,2,3.1289,1,30,7,1
16.2116,125.84,29,3.8132,0,134,34,0
12.5532,19.12,4,6.3729,1,90,4,1
1.5979,600.8,12,40.0532,0,135,16,0
1.1043,651.99,5,59.272,0,154,12,0
30.733,21.48,7,2.1475,1,35,11,1
0.5217,575.09,4,143.7718,0,137,5,0
1.0863,386.63,5,64.439,0,124,7,0
2.7673,433.64,19,22.8231,0,135,20,0
0.8996,733.67,6,73.3668,0,114,11,0
78.7098,50.31,2,0.774,1,35,66,1
68.0263,37.93,4,0.903,1,58,43,1
0.8117,739.2,6,82.1338,0,116,10,0
32.0049,7.5,4,2.4996,1,93,4,1
4.0478,133.41,8,16.6756,0,114,9,0
4.1069,365.24,21,15.2183,0,128,25,0
1.2632,807.46,17,50.466,0,122,17,0
1.3936,774.99,11,45.5876,0,152,18,0
52.1349,5.75,2,1.4386,1,22,5,1
3.0355,632.52,26,20.4037,0,108,32,0
0.8587,768.61,2,76.8608,0,120,11,0
2.741,503.47,14,22.885,0,110,23,0
3.05,688.54,28,20.251,0,105,35,0
1.554,733.59,10,40.7549,0,106,19,0
1.7832,605.65,18,35.6264,0,139,18,0
40.0391,28.47,7,1.5818,1,24,19,1
22.8358,78.82,25,2.7181,0,138,30,0
99.6346,1.81,3,0.9033,0,92,3,1
29.9453,34.06,15,2.1289,0,108,17,0
1.2577,858.72,8,50.5127,0,155,18,0
1.4079,852.32,20,44.8587,0,113,20,0
3.372,142.35,7,20.3357,0,112,8,0
45.8029,20.96,3,1.3973,1,15,16,1
6.0143,239.43,22,10.4099,0,109,24,0
78.9568,35.72,2,0.7764,1,42,47,1
1.049,629.18,7,62.9184,0,117,11,0
2.7499,763.66,30,22.4605,0,100,35,0
10.624,135.54,23,5.8931,0,113,24,0
3.0279,39.63,2,39.6316,1,82,2,1
3.8979,523.35,32,15.8592,0,145,34,0
2.3213,775.42,28,26.7386,0,132,30,0
22.0515,57.14,3,2.857,1,45,21,1
1.3351,629.16,5,48.3969,0,122,14,0
1.7597,784.24,14,35.6471,0,132,23,0
101.2104,22.53,3,0.6088,1,55,38,1
128.3207,4.68,8,0.5195,0,98,10,1
5.4671,164.62,8,11.7587,0,114,15,0
80.1665,42.66,4,0.7618,1,45,57,1
53.0941,37.29,25,1.1654,0,103,33,0
5.6874,52.75,3,13.1871,0,119,5,0
4.6165,116.97,7,14.6215,0,107,9,0
4.3039,125.47,2,15.6834,0,117,9,0
3.5525,557.36,31,17.4175,0,140,33,0
12.6616,28.43,6,5.6865,1,90,6,1
3.2191,391.42,20,19.571,0,138,21,0
8.2592,130.76,15,7.6919,0,127,18,0
0.943,827.12,13,68.927,0,136,13,0
182.6163,2.63,4,0.3755,0,105,8,1
4.7139,445.49,30,13.1027,0,126,35,0
0.8408,713.58,6,79.287,0,122,10,0
4.2599,436.63,23,14.5543,0,112,31,0
2.064,872.08,25,30.0718,0,92,30,0
3.9392,335.1,17,15.9569,0,132,22,0
2.1904,684.8,22,28.5331,0,133,25,0
1.5198,355.31,3,44.4131,0,98,9,0
1.0141,591.63,2,65.7367,0,142,10,0
2.4252,321.62,9,26.8014,0,138,13,0
309.1995,13.0,1,0.197,1,42,67,1
7.064,246.32,27,8.7972,0,152,29,0
7.8009,69.22,2,8.6528,0,128,9,0
1.2627,665.24,11,51.1724,0,123,14,0
2.4696,801.74,23,25.0544,0,104,33,0
125.7163,4.77,9,0.5303,0,85,10,1
117.1991,10.75,6,0.5375,1,30,21,1
77.9299,40.04,1,0.785,1,60,52,1
0.8243,873.47,8,79.4065,0,99,12,0
2.2822,867.59,33,27.1122,0,100,33,0
7.5925,47.42,6,9.483,1,82,6,1
132.8019,14.46,4,0.4664,1,45,32,1
38.8958,7.71,5,1.9282,1,95,5,1
4.3684,343.38,15,14.3075,0,127,25,0
201.2102,17.3,4,0.3034,1,58,58,1
1.6482,618.86,12,38.679,0,109,17,0
497.348,0.97,8,0.1379,0,95,8,1
4.6674,64.28,1,16.069,0,150,5,0
1.5378,858.34,12,40.8735,0,136,22,0
71.9057,28.37,2,0.8597,1,42,34,1
20.5213,43.86,8,3.1326,0,132,15,0
2.3119,415.25,16,27.6831,0,137,16,0
0.9404,829.47,7,69.1227,0,142,13,0
149.4367,3.61,6,0.4517,0,80,9,1
3.2477,443.38,22,19.2776,0,103,24,0
138.5526,34.21,5,0.4386,1,38,79,1
80.1603,4.49,4,0.8982,0,88,6,1
6.7708,230.4,21,9.2161,0,100,26,0
3.2236,632.82,30,19.1765,0,123,34,0
1.8791,766.34,16,33.3192,0,143,24,0
1.723,661.62,11,36.7566,0,112,19,0
3.5604,589.81,32,17.3475,0,94,35,0
0.8516,704.57,10,78.2855,0,135,10,0
3.5815,519.33,28,17.3111,0,127,31,0
2.284,735.54,23,27.2422,0,115,28,0
318.5184,12.24,4,0.1913,1,55,65,1
2.1192,821.06,29,29.3236,0,138,29,0
0.7719,855.09,11,85.5087,0,141,11,0
1.6664,612.1,10,38.2561,0,114,17,0
112.8753,11.69,6,0.5569,1,35,22,1
5.5369,32.51,3,16.2546,1,92,3,1
2.7522,327.02,12,23.3583,0,118,15,0
0.5913,710.3,4,118.3834,0,123,7,0
3.2047,617.84,25,19.3076,0,123,33,0
1.295,324.32,4,54.054,0,113,7,0
417.994,1.44,5,0.1595,0,80,10,1
2.6679,44.98,2,44.9791,1,82,2,1
3.4837,499.46,29,17.838,0,133,29,0
3.1308,114.99,2,22.9973,0,142,6,0
2.4342,665.51,23,25.5965,0,128,27,0
15.8695,113.42,30,3.9112,0,101,30,0
1.8483,681.7,14,34.0851,0,128,21,0
92.6432,51.16,4,0.6559,1,45,79,1
3.0231,694.65,31,20.4309,0,99,35,0
1.8843,732.37,19,33.2897,0,113,23,0
1.3095,733.12,12,48.8744,0,131,16,0
3.9148,459.8,25,15.8551,0,99,30,0
8.5288,42.21,6,8.442,1,78,6,1
2.4703,388.62,8,25.9078,0,113,16,0
3.7365,385.39,15,16.756,0,141,24,0
955.0994,0.63,3,0.0698,0,72,10,1
44.9755,17.34,2,1.4452,1,25,13,1
7.7626,193.24,24,8.0515,0,139,25,0
2.0646,842.79,21,30.0995,0,108,29,0
2.5596,421.94,17,24.8199,0,115,18,0
87.5223,43.19,1,0.6966,1,52,63,1
0.5685,738.77,7,123.1275,0,133,7,0
1.6205,444.31,4,40.3921,0,109,12,0
371.7988,14.2,5,0.1632,1,60,88,1
4.0033,314.74,17,15.7372,0,149,21,0
0.9764,307.26,1,76.814,0,119,5,0
4.1592,490.48,24,14.8631,0,150,34,0
188.23,3.19,4,0.3542,0,76,10,1
0.748,882.32,4,88.232,0,152,11,0
2.648,770.38,24,23.3449,0,132,34,0
174.2588,23.41,5,0.3495,1,48,68,1
4.535,396.91,22,13.6867,0,95,30,0
125.2075,36.9,3,0.4855,1,60,77,1
2.8061,641.45,28,22.1191,0,104,30,0
3.8188,282.81,14,16.636,0,104,18,0
5.2754,318.46,25,11.7948,0,130,28,0
4.3573,481.95,26,14.1751,0,133,35,0
2.1301,816.86,27,29.1736,0,116,29,0
3.7052,372.45,17,16.9296,0,135,23,0
1.1762,867.21,11,54.2006,0,152,17,0
0.3362,892.24,4,223.061,0,143,5,0
8.2348,87.43,6,7.9486,0,109,12,0
1.5295,392.28,2,43.5872,0,132,10,0
2.95,203.39,8,22.5992,0,150,10,0
99.1234,52.66,1,0.6123,1,45,87,1
0.9008,399.65,2,79.9303,0,114,6,0
2.0217,534.21,16,31.4243,0,133,18,0
23.9218,50.16,16,2.6402,0,142,20,0
37.8373,19.03,6,1.7299,1,15,12,1
3.1646,56.88,3,28.44,1,85,3,1
5.0933,341.63,29,12.2009,0,102,29,0
2.052,760.24,18,30.4096,0,155,26,0
39.6152,39.38,16,1.5752,0,122,26,0
4.5929,391.91,27,13.514,0,116,30,0
0.8813,476.55,2,79.4245,0,143,7,0
1.6979,388.72,9,38.8722,0,134,11,0
75.8057,3.17,4,1.0553,0,88,4,1
3.3037,145.29,8,20.7561,0,118,8,0
2.1655,581.85,12,29.0923,0,148,21,0
6.0498,49.59,5,12.3972,1,88,5,1
1.4043,427.27,10,47.4745,0,136,10,0
4.8941,367.79,29,12.6825,0,142,30,0
4.4426,432.18,23,13.9414,0,139,32,0
2.5489,800.36,28,24.2533,0,128,34,0
2.1372,505.34,9,29.7258,0,130,18,0
46.4538,19.37,5,1.3839,1,30,15,1
4.9949,36.04,3,18.0182,1,90,3,1
103.7701,47.99,1,0.5853,1,52,83,1
3.9151,429.11,22,15.893,0,109,28,0
3.9058,368.68,24,16.0297,0,140,24,0
2.9687,626.53,23,20.8845,0,111,31,0
280.3562,2.14,10,0.2378,0,110,10,1
30.1142,53.8,17,2.069,0,117,27,0
100.437,4.18,3,0.697,0,72,7,1
1.5181,869.51,19,41.4052,0,115,22,0
0.4942,849.9,4,141.6496,0,160,7,0
1.9674,396.47,10,33.0388,0,151,13,0
2.1273,451.28,16,30.0855,0,111,16,0
119.5294,39.15,2,0.5085,1,48,78,1
2.3426,332.96,7,27.7467,0,136,13,0
0.5905,711.25,3,118.5412,0,91,7,0
5.0489,178.26,14,12.7327,0,101,15,0
2.338,487.61,16,27.0892,0,133,19,0
1.7835,33.64,1,0,1,86,1,1
214.1673,19.89,3,0.2842,1,35,71,1
0.604,596.03,4,119.2065,0,118,6,0
1.1941,803.97,9,53.5983,0,129,16,0
79.1367,14.41,4,0.8003,1,30,19,1
1.3566,44.23,1,0,1,95,1,1
10.764,55.74,3,6.1935,0,107,10,0
3.3304,630.56,31,18.5457,0,114,35,0
5.1833,312.54,19,12.0209,0,126,27,0
3.0605,450.91,14,20.4961,0,98,23,0
1.4823,607.15,6,43.3677,0,121,15,0
134.6739,1.34,3,0.6683,0,80,3,1
57.7471,5.2,2,1.2988,1,25,5,1
2.4399,442.65,15,26.0381,0,139,18,0
4.045,489.5,23,15.2968,0,128,33,0
2.3694,860.99,24,26.0905,0,117,34,0
0.6007,699.13,3,116.5214,0,121,7,0
115.4162,33.79,2,0.528,1,55,65,1
2.9588,385.29,18,21.4048,0,137,19,0
6.9962,231.55,19,8.9059,0,135,27,0
2.2071,271.85,6,30.2061,0,103,10,0
6.1129,314.09,29,10.1319,0,134,32,0
228.9203,1.57,4,0.3145,0,92,6,1
1.1953,752.93,12,53.7805,0,119,15,0
2.3985,400.24,15,26.6829,0,107,16,0
8.2289,14.58,2,14.5828,1,90,2,1
223.1579,1.08,4,0.3585,0,85,4,1
1.5925,565.14,10,40.367,0,138,15,0
1.078,612.27,9,61.2273,0,117,11,0
7.9125,30.33,4,10.1106,1,92,4,1
0.7127,841.88,1,93.5419,0,110,10,0
21.0631,31.33,5,3.1334,0,140,11,0
0.8799,681.93,10,75.7704,0,107,10,0
1.2696,661.61,7,50.8931,0,108,14,0
48.0006,53.75,3,1.2797,1,35,43,1
2.6642,563.03,24,23.4596,0,150,25,0
7.3098,114.91,6,8.8396,0,148,14,0
157.8139,31.18,4,0.3849,1,55,82,1
3.3873,602.24,28,18.2498,0,117,34,0
53.8455,36.77,32,1.1491,0,142,33,0
2.678,604.92,26,23.2662,0,112,27,0
584.6596,0.62,4,0.1231,0,110,6,1
117.0991,45.6,5,0.5182,1,55,89,1
100.3179,4.19,5,0.6978,0,92,7,1
1.3548,310.01,6,51.6688,0,99,7,0
1.9302,248.69,1,35.5264,0,143,8,0
186.9544,29.53,5,0.3245,1,60,92,1
3.7897,411.64,20,16.4658,0,141,26,0
100.5824,3.58,5,0.7158,0,98,6,1
12.2355,98.08,17,5.1619,0,133,20,0
4.3156,403.19,28,14.3996,0,158,29,0
11.0287,92.49,11,5.7804,0,116,17,0
1.5385,701.99,16,41.2935,0,93,18,0
1.8315,851.78,20,34.0711,0,123,26,0
132.4503,6.34,6,0.4878,1,22,14,1
3.9628,45.42,3,22.711,1,88,3,1
1.8308,884.84,22,34.0325,0,146,27,0
1.4433,540.42,9,45.0348,0,90,13,0
124.7957,4.81,4,0.5342,0,105,10,1
7.1772,175.56,13,8.7778,0,94,21,0
